word1	word2	POS	SimLex999	conc(w1)	conc(w2)	concQ	Assoc(USF)	SimAssoc333	SD(SimLex)	context1	context2
new	fresh	A	6.83	2.81	1.97	1	1.98	1	1.2	The word 'new' is often used in phrases such as 'The new solution' or 'The new idea.'	The word 'fresh' is often used in phrases such as 'The fresh method' or 'The fresh approach.'
sharp	dull	A	0.6	3.86	2.37	2	1.48	1	1.39	The word 'sharp' is often used in phrases such as 'The sharp solution' or 'The sharp idea.'	The word 'dull' is often used in phrases such as 'The dull method' or 'The dull approach.'
quick	rapid	A	9.7	2.89	3.07	2	1.38	1	1.14	The word 'quick' is often used in phrases such as 'The quick solution' or 'The quick idea.'	The word 'rapid' is often used in phrases such as 'The rapid method' or 'The rapid approach.'
dumb	foolish	A	6.67	2.36	1.84	1	1.34	1	1.36	The word 'dumb' is often used in phrases such as 'The dumb solution' or 'The dumb idea.'	The word 'foolish' is often used in phrases such as 'The foolish method' or 'The foolish approach.'
wonderful	terrific	A	8.63	1.82	2.07	1	1.17	1	1.63	The word 'wonderful' is often used in phrases such as 'The wonderful solution' or 'The wonderful idea.'	The word 'terrific' is often used in phrases such as 'The terrific method' or 'The terrific approach.'
strange	odd	A	9.02	1.86	1.7	1	1.16	1	1.04	The word 'strange' is often used in phrases such as 'The strange solution' or 'The strange idea.'	The word 'odd' is often used in phrases such as 'The odd method' or 'The odd approach.'
happy	angry	A	1.28	2.56	2.53	1	1.15	1	1.41	The word 'happy' is often used in phrases such as 'The happy solution' or 'The happy idea.'	The word 'angry' is often used in phrases such as 'The angry method' or 'The angry approach.'
narrow	broad	A	1.18	3.04	2.45	2	1.0	1	1.18	The word 'narrow' is often used in phrases such as 'The narrow solution' or 'The narrow idea.'	The word 'broad' is often used in phrases such as 'The broad method' or 'The broad approach.'
simple	easy	A	9.4	1.62	2.07	1	0.96	1	1.51	The word 'simple' is often used in phrases such as 'The simple solution' or 'The simple idea.'	The word 'easy' is often used in phrases such as 'The easy method' or 'The easy approach.'
old	fresh	A	0.87	2.72	1.97	1	0.91	1	1.64	The word 'old' is often used in phrases such as 'The old solution' or 'The old idea.'	The word 'fresh' is often used in phrases such as 'The fresh method' or 'The fresh approach.'
apparent	obvious	A	8.47	1.73	2.07	1	0.89	1	1.52	The word 'apparent' is often used in phrases such as 'The apparent solution' or 'The apparent idea.'	The word 'obvious' is often used in phrases such as 'The obvious method' or 'The obvious approach.'
inexpensive	cheap	A	8.72	2.22	2.11	1	0.79	1	0.81	The word 'inexpensive' is often used in phrases such as 'The inexpensive solution' or 'The inexpensive idea.'	The word 'cheap' is often used in phrases such as 'The cheap method' or 'The cheap approach.'
nice	generous	A	5.0	2.18	2.25	1	0.77	1	1.14	The word 'nice' is often used in phrases such as 'The nice solution' or 'The nice idea.'	The word 'generous' is often used in phrases such as 'The generous method' or 'The generous approach.'
weird	normal	A	0.72	1.59	1.4	1	0.76	1	1.15	The word 'weird' is often used in phrases such as 'The weird solution' or 'The weird idea.'	The word 'normal' is often used in phrases such as 'The normal method' or 'The normal approach.'
weird	odd	A	9.2	1.59	1.7	1	0.75	1	1.27	The word 'weird' is often used in phrases such as 'The weird solution' or 'The weird idea.'	The word 'odd' is often used in phrases such as 'The odd method' or 'The odd approach.'
bad	immoral	A	7.62	1.68	1.59	1	0.74	1	0.98	The word 'bad' is often used in phrases such as 'The bad solution' or 'The bad idea.'	The word 'immoral' is often used in phrases such as 'The immoral method' or 'The immoral approach.'
sad	funny	A	0.95	3.07	2.5	2	0.74	1	1.28	The word 'sad' is often used in phrases such as 'The sad solution' or 'The sad idea.'	The word 'funny' is often used in phrases such as 'The funny method' or 'The funny approach.'
wonderful	great	A	8.05	1.82	1.81	1	0.7	1	1.05	The word 'wonderful' is often used in phrases such as 'The wonderful solution' or 'The wonderful idea.'	The word 'great' is often used in phrases such as 'The great method' or 'The great approach.'
guilty	ashamed	A	6.38	2.36	1.74	1	0.69	1	0.47	The word 'guilty' is often used in phrases such as 'The guilty solution' or 'The guilty idea.'	The word 'ashamed' is often used in phrases such as 'The ashamed method' or 'The ashamed approach.'
beautiful	wonderful	A	6.5	2.16	1.82	1	0.68	1	0.85	The word 'beautiful' is often used in phrases such as 'The beautiful solution' or 'The beautiful idea.'	The word 'wonderful' is often used in phrases such as 'The wonderful method' or 'The wonderful approach.'
confident	sure	A	8.27	2.62	1.73	1	0.68	1	1.21	The word 'confident' is often used in phrases such as 'The confident solution' or 'The confident idea.'	The word 'sure' is often used in phrases such as 'The sure method' or 'The sure approach.'
dumb	dense	A	7.27	2.36	3.14	2	0.68	1	0.43	The word 'dumb' is often used in phrases such as 'The dumb solution' or 'The dumb idea.'	The word 'dense' is often used in phrases such as 'The dense method' or 'The dense approach.'
large	big	A	9.55	3.37	3.66	2	0.68	1	0.44	The word 'large' is often used in phrases such as 'The large solution' or 'The large idea.'	The word 'big' is often used in phrases such as 'The big method' or 'The big approach.'
nice	cruel	A	0.67	2.18	2.11	1	0.49	1	1.53	The word 'nice' is often used in phrases such as 'The nice solution' or 'The nice idea.'	The word 'cruel' is often used in phrases such as 'The cruel method' or 'The cruel approach.'
impatient	anxious	A	6.03	2.38	1.68	1	0.47	1	1.22	The word 'impatient' is often used in phrases such as 'The impatient solution' or 'The impatient idea.'	The word 'anxious' is often used in phrases such as 'The anxious method' or 'The anxious approach.'
big	broad	A	6.73	3.66	2.45	2	0.47	1	1.68	The word 'big' is often used in phrases such as 'The big solution' or 'The big idea.'	The word 'broad' is often used in phrases such as 'The broad method' or 'The broad approach.'
strong	proud	A	3.17	3.14	2.07	2	0.42	0	1.46	The word 'strong' is often used in phrases such as 'The strong solution' or 'The strong idea.'	The word 'proud' is often used in phrases such as 'The proud method' or 'The proud approach.'
unnecessary	necessary	A	0.63	1.56	1.8	1	0.41	0	0.61	The word 'unnecessary' is often used in phrases such as 'The unnecessary solution' or 'The unnecessary idea.'	The word 'necessary' is often used in phrases such as 'The necessary method' or 'The necessary approach.'
restless	young	A	1.6	2.46	3.16	2	0.41	0	0.85	The word 'restless' is often used in phrases such as 'The restless solution' or 'The restless idea.'	The word 'young' is often used in phrases such as 'The young method' or 'The young approach.'
dumb	intelligent	A	0.75	2.36	2.46	1	0.37	0	1.5	The word 'dumb' is often used in phrases such as 'The dumb solution' or 'The dumb idea.'	The word 'intelligent' is often used in phrases such as 'The intelligent method' or 'The intelligent approach.'
bad	great	A	0.35	1.68	1.81	1	0.35	0	1.49	The word 'bad' is often used in phrases such as 'The bad solution' or 'The bad idea.'	The word 'great' is often used in phrases such as 'The great method' or 'The great approach.'
difficult	simple	A	0.87	2.21	1.62	1	0.34	0	0.44	The word 'difficult' is often used in phrases such as 'The difficult solution' or 'The difficult idea.'	The word 'simple' is often used in phrases such as 'The simple method' or 'The simple approach.'
necessary	important	A	7.37	1.8	2.14	1	0.34	0	1.36	The word 'necessary' is often used in phrases such as 'The necessary solution' or 'The necessary idea.'	The word 'important' is often used in phrases such as 'The important method' or 'The important approach.'
bad	terrific	A	0.65	1.68	2.07	1	0.28	0	1.43	The word 'bad' is often used in phrases such as 'The bad solution' or 'The bad idea.'	The word 'terrific' is often used in phrases such as 'The terrific method' or 'The terrific approach.'
mad	glad	A	1.45	2.76	2.36	1	0.28	0	1.17	The word 'mad' is often used in phrases such as 'The mad solution' or 'The mad idea.'	The word 'glad' is often used in phrases such as 'The glad method' or 'The glad approach.'
honest	guilty	A	1.18	1.66	2.36	1	0.27	0	1.68	The word 'honest' is often used in phrases such as 'The honest solution' or 'The honest idea.'	The word 'guilty' is often used in phrases such as 'The guilty method' or 'The guilty approach.'
easy	tough	A	0.52	2.07	2.5	1	0.27	0	1.87	The word 'easy' is often used in phrases such as 'The easy solution' or 'The easy idea.'	The word 'tough' is often used in phrases such as 'The tough method' or 'The tough approach.'
easy	flexible	A	4.1	2.07	2.64	1	0.27	0	1.08	The word 'easy' is often used in phrases such as 'The easy solution' or 'The easy idea.'	The word 'flexible' is often used in phrases such as 'The flexible method' or 'The flexible approach.'
certain	sure	A	8.42	1.68	1.73	1	0.23	0	1.29	The word 'certain' is often used in phrases such as 'The certain solution' or 'The certain idea.'	The word 'sure' is often used in phrases such as 'The sure method' or 'The sure approach.'
essential	necessary	A	8.97	1.52	1.8	1	0.21	0	1.11	The word 'essential' is often used in phrases such as 'The essential solution' or 'The essential idea.'	The word 'necessary' is often used in phrases such as 'The necessary method' or 'The necessary approach.'
different	normal	A	1.08	1.97	1.4	1	0.21	0	1.75	The word 'different' is often used in phrases such as 'The different solution' or 'The different idea.'	The word 'normal' is often used in phrases such as 'The normal method' or 'The normal approach.'
sly	clever	A	7.25	2.03	1.79	1	0.21	0	1.41	The word 'sly' is often used in phrases such as 'The sly solution' or 'The sly idea.'	The word 'clever' is often used in phrases such as 'The clever method' or 'The clever approach.'
crucial	important	A	8.82	2.08	2.14	1	0.21	0	1.25	The word 'crucial' is often used in phrases such as 'The crucial solution' or 'The crucial idea.'	The word 'important' is often used in phrases such as 'The important method' or 'The important approach.'
harsh	cruel	A	8.18	2.23	2.11	1	0.21	0	1.66	The word 'harsh' is often used in phrases such as 'The harsh solution' or 'The harsh idea.'	The word 'cruel' is often used in phrases such as 'The cruel method' or 'The cruel approach.'
childish	foolish	A	5.5	2.52	1.84	1	0.21	0	1.45	The word 'childish' is often used in phrases such as 'The childish solution' or 'The childish idea.'	The word 'foolish' is often used in phrases such as 'The foolish method' or 'The foolish approach.'
scarce	rare	A	9.17	2.57	1.96	1	0.21	0	1.21	The word 'scarce' is often used in phrases such as 'The scarce solution' or 'The scarce idea.'	The word 'rare' is often used in phrases such as 'The rare method' or 'The rare approach.'
friendly	generous	A	5.9	2.32	2.25	1	0.21	0	0.6	The word 'friendly' is often used in phrases such as 'The friendly solution' or 'The friendly idea.'	The word 'generous' is often used in phrases such as 'The generous method' or 'The generous approach.'
fragile	frigid	A	2.38	2.86	3.28	2	0.21	0	0.84	The word 'fragile' is often used in phrases such as 'The fragile solution' or 'The fragile idea.'	The word 'frigid' is often used in phrases such as 'The frigid method' or 'The frigid approach.'
long	narrow	A	3.57	3.18	3.04	2	0.21	0	1.62	The word 'long' is often used in phrases such as 'The long solution' or 'The long idea.'	The word 'narrow' is often used in phrases such as 'The narrow method' or 'The narrow approach.'
big	heavy	A	6.18	3.66	3.37	2	0.21	0	1.54	The word 'big' is often used in phrases such as 'The big solution' or 'The big idea.'	The word 'heavy' is often used in phrases such as 'The heavy method' or 'The heavy approach.'
rough	frigid	A	2.47	3.83	3.28	2	0.21	0	1.37	The word 'rough' is often used in phrases such as 'The rough solution' or 'The rough idea.'	The word 'frigid' is often used in phrases such as 'The frigid method' or 'The frigid approach.'
bizarre	strange	A	9.37	1.79	1.86	1	0.2	0	1.54	The word 'bizarre' is often used in phrases such as 'The bizarre solution' or 'The bizarre idea.'	The word 'strange' is often used in phrases such as 'The strange method' or 'The strange approach.'
illegal	immoral	A	4.28	2.37	1.59	1	0.2	0	1.57	The word 'illegal' is often used in phrases such as 'The illegal solution' or 'The illegal idea.'	The word 'immoral' is often used in phrases such as 'The immoral method' or 'The immoral approach.'
bad	guilty	A	4.2	1.68	2.36	1	0.2	0	1.47	The word 'bad' is often used in phrases such as 'The bad solution' or 'The bad idea.'	The word 'guilty' is often used in phrases such as 'The guilty method' or 'The guilty approach.'
modern	ancient	A	0.73	2.31	2.04	1	0.2	0	0.71	The word 'modern' is often used in phrases such as 'The modern solution' or 'The modern idea.'	The word 'ancient' is often used in phrases such as 'The ancient method' or 'The ancient approach.'
new	ancient	A	0.23	2.81	2.04	1	0.2	0	0.46	The word 'new' is often used in phrases such as 'The new solution' or 'The new idea.'	The word 'ancient' is often used in phrases such as 'The ancient method' or 'The ancient approach.'
dull	funny	A	0.55	2.37	2.5	1	0.2	0	1.76	The word 'dull' is often used in phrases such as 'The dull solution' or 'The dull idea.'	The word 'funny' is often used in phrases such as 'The funny method' or 'The funny approach.'
happy	young	A	2.0	2.56	3.16	2	0.2	0	0.47	The word 'happy' is often used in phrases such as 'The happy solution' or 'The happy idea.'	The word 'young' is often used in phrases such as 'The young method' or 'The young approach.'
easy	big	A	1.12	2.07	3.66	2	0.2	0	1.22	The word 'easy' is often used in phrases such as 'The easy solution' or 'The easy idea.'	The word 'big' is often used in phrases such as 'The big method' or 'The big approach.'
great	awful	A	1.17	1.81	1.92	1	0.15	0	1.53	The word 'great' is often used in phrases such as 'The great solution' or 'The great idea.'	The word 'awful' is often used in phrases such as 'The awful method' or 'The awful approach.'
tiny	huge	A	0.6	3.11	3.54	2	0.15	0	0.59	The word 'tiny' is often used in phrases such as 'The tiny solution' or 'The tiny idea.'	The word 'huge' is often used in phrases such as 'The huge method' or 'The huge approach.'
polite	proper	A	7.63	1.85	1.78	1	0.14	0	1.42	The word 'polite' is often used in phrases such as 'The polite solution' or 'The polite idea.'	The word 'proper' is often used in phrases such as 'The proper method' or 'The proper approach.'
modest	ashamed	A	2.65	2.21	1.74	1	0.14	0	1.0	The word 'modest' is often used in phrases such as 'The modest solution' or 'The modest idea.'	The word 'ashamed' is often used in phrases such as 'The ashamed method' or 'The ashamed approach.'
exotic	rare	A	8.05	2.11	1.96	1	0.14	0	0.93	The word 'exotic' is often used in phrases such as 'The exotic solution' or 'The exotic idea.'	The word 'rare' is often used in phrases such as 'The rare method' or 'The rare approach.'
dumb	clever	A	1.17	2.36	1.79	1	0.14	0	1.3	The word 'dumb' is often used in phrases such as 'The dumb solution' or 'The dumb idea.'	The word 'clever' is often used in phrases such as 'The clever method' or 'The clever approach.'
delightful	wonderful	A	8.65	2.38	1.82	1	0.14	0	1.29	The word 'delightful' is often used in phrases such as 'The delightful solution' or 'The delightful idea.'	The word 'wonderful' is often used in phrases such as 'The wonderful method' or 'The wonderful approach.'
noticeable	obvious	A	8.48	2.29	2.07	1	0.14	0	1.69	The word 'noticeable' is often used in phrases such as 'The noticeable solution' or 'The noticeable idea.'	The word 'obvious' is often used in phrases such as 'The obvious method' or 'The obvious approach.'
afraid	anxious	A	5.07	2.7	1.68	1	0.14	0	1.28	The word 'afraid' is often used in phrases such as 'The afraid solution' or 'The afraid idea.'	The word 'anxious' is often used in phrases such as 'The anxious method' or 'The anxious approach.'
formal	proper	A	8.02	2.7	1.78	1	0.14	0	1.31	The word 'formal' is often used in phrases such as 'The formal solution' or 'The formal idea.'	The word 'proper' is often used in phrases such as 'The proper method' or 'The proper approach.'
dreary	dull	A	8.25	2.33	2.37	1	0.14	0	1.85	The word 'dreary' is often used in phrases such as 'The dreary solution' or 'The dreary idea.'	The word 'dull' is often used in phrases such as 'The dull method' or 'The dull approach.'
delightful	cheerful	A	6.58	2.38	2.34	1	0.14	0	1.56	The word 'delightful' is often used in phrases such as 'The delightful solution' or 'The delightful idea.'	The word 'cheerful' is often used in phrases such as 'The cheerful method' or 'The cheerful approach.'
unhappy	mad	A	5.95	2.04	2.76	1	0.14	0	1.36	The word 'unhappy' is often used in phrases such as 'The unhappy solution' or 'The unhappy idea.'	The word 'mad' is often used in phrases such as 'The mad method' or 'The mad approach.'
sad	terrible	A	5.4	3.07	2.04	1	0.14	0	0.44	The word 'sad' is often used in phrases such as 'The sad solution' or 'The sad idea.'	The word 'terrible' is often used in phrases such as 'The terrible method' or 'The terrible approach.'
sick	crazy	A	3.57	2.97	2.37	2	0.14	0	0.95	The word 'sick' is often used in phrases such as 'The sick solution' or 'The sick idea.'	The word 'crazy' is often used in phrases such as 'The crazy method' or 'The crazy approach.'
violent	angry	A	6.98	3.1	2.53	2	0.14	0	1.55	The word 'violent' is often used in phrases such as 'The violent solution' or 'The violent idea.'	The word 'angry' is often used in phrases such as 'The angry method' or 'The angry approach.'
laden	heavy	A	5.9	2.96	3.37	2	0.14	0	1.28	The word 'laden' is often used in phrases such as 'The laden solution' or 'The laden idea.'	The word 'heavy' is often used in phrases such as 'The heavy method' or 'The heavy approach.'
dirty	cheap	A	1.6	4.23	2.11	2	0.14	0	1.1	The word 'dirty' is often used in phrases such as 'The dirty solution' or 'The dirty idea.'	The word 'cheap' is often used in phrases such as 'The cheap method' or 'The cheap approach.'
elastic	flexible	A	7.78	3.73	2.64	2	0.14	0	1.09	The word 'elastic' is often used in phrases such as 'The elastic solution' or 'The elastic idea.'	The word 'flexible' is often used in phrases such as 'The flexible method' or 'The flexible approach.'
hard	dense	A	5.9	3.76	3.14	2	0.14	0	1.0	The word 'hard' is often used in phrases such as 'The hard solution' or 'The hard idea.'	The word 'dense' is often used in phrases such as 'The dense method' or 'The dense approach.'
recent	new	A	7.05	2.5	2.81	2	0.13	0	1.05	The word 'recent' is often used in phrases such as 'The recent solution' or 'The recent idea.'	The word 'new' is often used in phrases such as 'The new method' or 'The new approach.'
bold	proud	A	3.97	2.43	2.07	1	0.12	0	1.36	The word 'bold' is often used in phrases such as 'The bold solution' or 'The bold idea.'	The word 'proud' is often used in phrases such as 'The proud method' or 'The proud approach.'
sly	strange	A	1.97	2.03	1.86	1	0.0	0	1.07	The word 'sly' is often used in phrases such as 'The sly solution' or 'The sly idea.'	The word 'strange' is often used in phrases such as 'The strange method' or 'The strange approach.'
strange	sly	A	2.07	1.86	2.03	1	0.0	0	0.51	The word 'strange' is often used in phrases such as 'The strange solution' or 'The strange idea.'	The word 'sly' is often used in phrases such as 'The sly method' or 'The sly approach.'
dumb	rare	A	0.48	2.36	1.96	1	0.0	0	1.55	The word 'dumb' is often used in phrases such as 'The dumb solution' or 'The dumb idea.'	The word 'rare' is often used in phrases such as 'The rare method' or 'The rare approach.'
sly	tough	A	0.58	2.03	2.5	1	0.0	0	1.01	The word 'sly' is often used in phrases such as 'The sly solution' or 'The sly idea.'	The word 'tough' is often used in phrases such as 'The tough method' or 'The tough approach.'
terrific	mad	A	0.4	2.07	2.76	1	0.0	0	0.86	The word 'terrific' is often used in phrases such as 'The terrific solution' or 'The terrific idea.'	The word 'mad' is often used in phrases such as 'The mad method' or 'The mad approach.'
modest	flexible	A	0.98	2.21	2.64	1	0.0	0	1.89	The word 'modest' is often used in phrases such as 'The modest solution' or 'The modest idea.'	The word 'flexible' is often used in phrases such as 'The flexible method' or 'The flexible approach.'
fresh	wide	A	0.4	1.97	3.06	1	0.0	0	1.41	The word 'fresh' is often used in phrases such as 'The fresh solution' or 'The fresh idea.'	The word 'wide' is often used in phrases such as 'The wide method' or 'The wide approach.'
huge	dumb	A	0.48	3.54	2.36	2	0.0	0	0.91	The word 'huge' is often used in phrases such as 'The huge solution' or 'The huge idea.'	The word 'dumb' is often used in phrases such as 'The dumb method' or 'The dumb approach.'
large	flexible	A	0.48	3.37	2.64	2	0.0	0	1.59	The word 'large' is often used in phrases such as 'The large solution' or 'The large idea.'	The word 'flexible' is often used in phrases such as 'The flexible method' or 'The flexible approach.'
dirty	narrow	A	0.3	4.23	3.04	2	0.0	0	0.89	The word 'dirty' is often used in phrases such as 'The dirty solution' or 'The dirty idea.'	The word 'narrow' is often used in phrases such as 'The narrow method' or 'The narrow approach.'
wife	husband	N	2.3	4.13	4.11	3	8.85	1	0.84	The word 'wife' is often used in phrases such as 'The wife solution' or 'The wife idea.'	The word 'husband' is often used in phrases such as 'The husband method' or 'The husband approach.'
book	text	N	6.35	4.9	4.93	4	8.81	1	1.43	The word 'book' is often used in phrases such as 'The book solution' or 'The book idea.'	The word 'text' is often used in phrases such as 'The text method' or 'The text approach.'
groom	bride	N	3.17	4.54	4.63	3	8.65	1	0.68	The word 'groom' is often used in phrases such as 'The groom solution' or 'The groom idea.'	The word 'bride' is often used in phrases such as 'The bride method' or 'The bride approach.'
night	day	N	1.88	4.52	3.92	3	8.19	1	1.17	The word 'night' is often used in phrases such as 'The night solution' or 'The night idea.'	The word 'day' is often used in phrases such as 'The day method' or 'The day approach.'
south	north	N	2.2	3.84	4.14	3	7.72	1	0.59	The word 'south' is often used in phrases such as 'The south solution' or 'The south idea.'	The word 'north' is often used in phrases such as 'The north method' or 'The north approach.'
plane	airport	N	3.65	4.92	4.87	4	7.57	1	1.07	The word 'plane' is often used in phrases such as 'The plane solution' or 'The plane idea.'	The word 'airport' is often used in phrases such as 'The airport method' or 'The airport approach.'
uncle	aunt	N	5.5	4.24	4.17	3	7.46	1	1.63	The word 'uncle' is often used in phrases such as 'The uncle solution' or 'The uncle idea.'	The word 'aunt' is often used in phrases such as 'The aunt method' or 'The aunt approach.'
horse	mare	N	8.33	5.0	4.75	4	7.4	1	0.73	The word 'horse' is often used in phrases such as 'The horse solution' or 'The horse idea.'	The word 'mare' is often used in phrases such as 'The mare method' or 'The mare approach.'
bottom	top	N	0.7	4.25	3.93	3	6.96	1	1.16	The word 'bottom' is often used in phrases such as 'The bottom solution' or 'The bottom idea.'	The word 'top' is often used in phrases such as 'The top method' or 'The top approach.'
friend	buddy	N	8.78	3.07	3.48	2	6.87	1	0.93	The word 'friend' is often used in phrases such as 'The friend solution' or 'The friend idea.'	The word 'buddy' is often used in phrases such as 'The buddy method' or 'The buddy approach.'
student	pupil	N	9.35	4.92	4.55	3	6.83	1	1.11	The word 'student' is often used in phrases such as 'The student solution' or 'The student idea.'	The word 'pupil' is often used in phrases such as 'The pupil method' or 'The pupil approach.'
world	globe	N	6.67	4.36	4.59	3	6.79	1	0.67	The word 'world' is often used in phrases such as 'The world solution' or 'The world idea.'	The word 'globe' is often used in phrases such as 'The globe method' or 'The globe approach.'
leg	arm	N	2.88	4.83	4.96	4	6.73	1	0.79	The word 'leg' is often used in phrases such as 'The leg solution' or 'The leg idea.'	The word 'arm' is often used in phrases such as 'The arm method' or 'The arm approach.'
plane	jet	N	8.1	4.92	4.77	4	6.62	1	1.24	The word 'plane' is often used in phrases such as 'The plane solution' or 'The plane idea.'	The word 'jet' is often used in phrases such as 'The jet method' or 'The jet approach.'
woman	man	N	3.33	4.46	4.79	3	6.6	1	1.42	The word 'woman' is often used in phrases such as 'The woman solution' or 'The woman idea.'	The word 'man' is often used in phrases such as 'The man method' or 'The man approach.'
horse	colt	N	7.07	5.0	4.96	4	6.54	1	0.84	The word 'horse' is often used in phrases such as 'The horse solution' or 'The horse idea.'	The word 'colt' is often used in phrases such as 'The colt method' or 'The colt approach.'
actress	actor	N	7.12	4.54	4.57	3	5.78	1	1.3	The word 'actress' is often used in phrases such as 'The actress solution' or 'The actress idea.'	The word 'actor' is often used in phrases such as 'The actor method' or 'The actor approach.'
teacher	instructor	N	9.25	4.52	4.26	3	5.66	1	1.53	The word 'teacher' is often used in phrases such as 'The teacher solution' or 'The teacher idea.'	The word 'instructor' is often used in phrases such as 'The instructor method' or 'The instructor approach.'
movie	film	N	8.87	4.59	4.71	3	5.43	1	1.72	The word 'movie' is often used in phrases such as 'The movie solution' or 'The movie idea.'	The word 'film' is often used in phrases such as 'The film method' or 'The film approach.'
bird	hawk	N	7.85	5.0	4.93	4	5.29	1	0.91	The word 'bird' is often used in phrases such as 'The bird solution' or 'The bird idea.'	The word 'hawk' is often used in phrases such as 'The hawk method' or 'The hawk approach.'
word	dictionary	N	3.68	3.56	4.62	3	5.2	1	1.56	The word 'word' is often used in phrases such as 'The word solution' or 'The word idea.'	The word 'dictionary' is often used in phrases such as 'The dictionary method' or 'The dictionary approach.'
money	salary	N	7.88	4.54	3.69	3	5.16	1	1.11	The word 'money' is often used in phrases such as 'The money solution' or 'The money idea.'	The word 'salary' is often used in phrases such as 'The salary method' or 'The salary approach.'
dog	cat	N	1.75	4.85	4.86	4	5.13	1	1.3	The word 'dog' is often used in phrases such as 'The dog solution' or 'The dog idea.'	The word 'cat' is often used in phrases such as 'The cat method' or 'The cat approach.'
